Comment,Designator,Footprint,LCSC,Quantity
5.1k,"MR1,MR10,MR11,MR12,MR13,MR14,MR15,MR16,MR2,MR4,MR5,MR6,MR7,MR8,MR9,R1,R2",R_0402_1005Metric,C105872,17
1k,"R7,R8",R_0402_1005Metric,C106235,2
33k,"R21,R24",R_0402_1005Metric,C138003,2
10nF,"C13,C14",C_0402_1005Metric,C15195,2
100n,"C19,C2,C20",C_0402_1005Metric,C1525,3
Conn_01x02_Socket,"M1,M2,M3,M4,M5",JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,C160388,5
Conn_01x02_Socket,J9,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,C161690,1
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
1N5819WS,D4,D_SOD-323,C191023,1
11k,"R22,R23",R_0402_1005Metric,C25749,2
STBC08PMR,U6,DFN6_3X3_STM,C262929,1
LSM6DS0,U5,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C2655100,1
22r,"R18,R5,R6",R_0201_0603Metric,C270355,3
LP5912-1.8DRV,U4,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,C2876234,1
22nF,"C11,C12,C8,C9",C_0402_1005Metric,C337699,4
10u,"C1,C10,C4,C5,C7",C_0805_2012Metric,C408141,5
SW_Push,SW1,TS-1088-AR02016,C455280,1
STM32WB5MMG,U1,ST-SiP-LGA-86-11x7.3mm,C5184586,1
LP5912-3.3DRV,U7,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,C524780,1
WS2812B,"LED1,LED10,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9",LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,C5349953,10
22uF,"C3,C6",C_0805_2012Metric,C602037,2
MCC SI8810,Q2,SOT-23,C669009,1
330mR,"R14,R15,R16,R17",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C7467250,4
1nF,"C15,C16",C_0402_1005Metric,C77018,2
47nF,"C17,C18",C_0402_1005Metric,C82219,2
2k,"R10,R11,R19,R20,R9",R_0402_1005Metric,C93942,5
47k,"R12,R13",R_0402_1005Metric,C93943,2
STSPIN240,"U2,U3",VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,C962258,2
